Instance,Source component,Source component app name,App Owner,Composite component,Called component,Called component app name
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NP00020,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC20,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC20A,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DCAB0010,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,UTAB0002,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,D20MSMOD,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPA0545,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPX1050,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPRNPTBA,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NPGETID,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPX1020,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPX1070,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPRAUDM,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPSAUDM,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPX3020,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,MDPREMA,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPA1100,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,MDPREMB,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,MDPREMD,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,MDPREMC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,MDPREMH,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPAACCT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPXIP,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPXIPAC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPX0020,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPX0030,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPX0040,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC30,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPACCT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPACCTDP,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPASOF,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPA3150,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPBLDUB,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPCALSUR,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPCKBIT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPCKINF,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPDETH,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPDFAPL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPLNOFF,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPDLYCST,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPDPADTM,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPEQTY,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPCURVL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPDPAD,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPNSP,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPNSPI,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPPDAN,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPPDDT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPPDETI,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPPDRI,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPTEMPV,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPETIC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPADJUN,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPCHGPM,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPETILM,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPIOMOD,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPREAR,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPLIBILL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPLNANL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPLNDT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPLNIMP,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPLNIT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPLNPRC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPA3115,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPMAEXP,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPMODEQT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPOVLFL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPPAYLN,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPPRMLN,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPPUAPT,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPRPUC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPSURDEP,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPSURPH,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPSURRN,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPTRLR,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPA3110,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC50,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC50A,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC50R,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,UTAB0050,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DPA5010,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC52,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC35,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC36,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NP20220,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC60M,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC60A,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC60P,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NP20820,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NP10030,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,DC60Z,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,TXCVDMYC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,TXCVMYTD,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,TRBCZAPR,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NPBLDIR,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NPCOMREC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NPGETEL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,NPGETNXE,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,CPALPHA,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD090,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TURBO,UPWRITE,Life 70 (core batch processing stay on mainframe)
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE10,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE100,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105MTR,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE10A,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105AFL,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE10ZIP,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,ICRU2000,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105PR1,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105PR2,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105PR3,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105PR4,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105PR5,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105CON,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105MED,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE105PST,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,CMFINDT,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,MDPREMH,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,MDPREMD,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPX1010,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPX1030,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,NPGETNXE,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,NPGETEL,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,MDPREMB,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,IUTU0100,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,MDPREMA,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPXIP,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,MORTREAD,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,TXCVMYTD,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,TXCVDMYC,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VE115,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,CMCVDATE,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,NP87B010,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,VSAMIO,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,IOCONTRL,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DISAMIO,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,NP87B011,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPA1100,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,NPBLDIR,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPX1012,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,NPCOMREC,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,BNPPDR,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPXISAM,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPX1011,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPSNPMSA,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,DPRNPMSA,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,UTCB9010,Actuarial
Newyork,PCAEQ020,Actuarial,"Hutto, Amy",VE10XH,UTCB9020,Actuarial
